date,ticker,close,fiscal_period,fiscal_year,revenue,net_income,totalLiabilities,totalEquity,share_capital,shares_outstanding,market_capitalization,p_e_ratio,sma_50,next_close
2024-10-18,AAPL,235.0,Q4,2024.0,94930000000.0,14736000000.0,308030000000.0,56950000000.0,83276000000.0,15115823000.0,3552218405000.0,241.0571664630836,225.5296,236.48
2024-10-21,AAPL,236.48,Q4,2024.0,94930000000.0,14736000000.0,308030000000.0,56950000000.0,83276000000.0,15115823000.0,3574589823040.0,242.5753137242128,225.93439999999998,235.86
2024-10-22,AAPL,235.86,Q4,2024.0,94930000000.0,14736000000.0,308030000000.0,56950000000.0,83276000000.0,15115823000.0,3565218012780.0,241.93933311482084,226.301,230.76
2024-10-23,AAPL,230.76,Q4,2024.0,94930000000.0,14736000000.0,308030000000.0,56950000000.0,83276000000.0,15115823000.0,3488127315480.0,236.7078797149837,226.4908,230.57
2024-10-24,AAPL,230.57,Q4,2024.0,94930000000.0,14736000000.0,308030000000.0,56950000000.0,83276000000.0,15115823000.0,3485255309110.0,236.51298243146036,226.6678,231.41
2024-10-25,AAPL,231.41,Q4,2024.0,94930000000.0,14736000000.0,308030000000.0,56950000000.0,83276000000.0,15115823000.0,3497952600430.0,237.37463357966882,226.8016,233.4
2024-10-28,AAPL,233.4,Q4,2024.0,94930000000.0,14736000000.0,308030000000.0,56950000000.0,83276000000.0,15115823000.0,3528033088200.0,239.41592618078175,226.94859999999997,233.67
2024-10-29,AAPL,233.67,Q4,2024.0,94930000000.0,14736000000.0,308030000000.0,56950000000.0,83276000000.0,15115823000.0,3532114360410.0,239.6928854784202,227.1042,230.1
2024-10-30,AAPL,230.1,Q4,2024.0,94930000000.0,14736000000.0,308030000000.0,56950000000.0,83276000000.0,15115823000.0,3478150872300.0,236.0308680985342,227.176,225.91
2024-10-31,AAPL,225.91,Q4,2024.0,94930000000.0,14736000000.0,308030000000.0,56950000000.0,83276000000.0,15115823000.0,3414815573930.0,231.73287010925625,227.1662,222.91
2024-11-01,AAPL,222.91,Q4,2024.0,94930000000.0,14736000000.0,308030000000.0,56950000000.0,83276000000.0,15115823000.0,3369468104930.0,228.65554457994028,227.13379999999998,222.01
2024-11-04,AAPL,222.01,Q4,2024.0,94930000000.0,14736000000.0,308030000000.0,56950000000.0,83276000000.0,15115823000.0,3355863864230.0,227.7323469211455,227.0372,223.45
2024-11-05,AAPL,223.45,Q4,2024.0,94930000000.0,14736000000.0,308030000000.0,56950000000.0,83276000000.0,15115823000.0,3377630649350.0,229.20946317521717,226.9626,222.72
2024-11-06,AAPL,222.72,Q4,2024.0,94930000000.0,14736000000.0,308030000000.0,56950000000.0,83276000000.0,15115823000.0,3366596098560.0,228.46064729641694,226.8564,227.48
2024-11-07,AAPL,227.48,Q4,2024.0,94930000000.0,14736000000.0,308030000000.0,56950000000.0,83276000000.0,15115823000.0,3438547416040.0,233.34333713626492,226.87619999999998,226.96
2024-11-08,AAPL,226.96,Q4,2024.0,94930000000.0,14736000000.0,308030000000.0,56950000000.0,83276000000.0,15115823000.0,3430687188080.0,232.80993404451684,226.81959999999998,224.23
2024-11-11,AAPL,224.23,Q4,2024.0,94930000000.0,14736000000.0,308030000000.0,56950000000.0,83276000000.0,15115823000.0,3389420991290.0,230.0095678128393,226.7242,224.23
2024-11-12,AAPL,224.23,Q4,2024.0,94930000000.0,14736000000.0,308030000000.0,56950000000.0,83276000000.0,15115823000.0,3389420991290.0,230.0095678128393,226.7534,225.12
2024-11-13,AAPL,225.12,Q4,2024.0,94930000000.0,14736000000.0,308030000000.0,56950000000.0,83276000000.0,15115823000.0,3402874073760.0,230.9225077198697,226.83880000000002,228.22
